Czas trwania interwencji;Model samochodu;Liczba rannych;Liczba zabitych;Najwyzszy stopien;Stan warunkow atmosferycznych;Okres swiateczny
1443;Volkswagen T5;1;0;Starszy posterunkowy;Pogodnie;0;
922;Volkswagen Sharan;1;1;Aspirant;Snieg;1;
2769;Volkswagen T5;1;0;Komisarz;Deszcz;0;
2798;BMW 3 Touring;4;1;Nadkomisarz;Snieg;0;
3331;Volkswagen T5;3;0;Przodownik;Snieg;1;
1227;Volkswagen Sharan;2;0;Nadkomisarz;Pogodnie;1;
1262;Volkswagen Caddy;3;1;Podkomisarz;Snieg;0;
2788;BMW 3 Touring;3;1;Starszy przodownik;Deszcz;0;
3871;Volkswagen T5;3;0;Starszy przodownik;Deszcz;0;
3817;Kia Ceed;0;1;Podkomisarz;Pogodnie;1;
2922;Volkswagen Caddy;1;1;Posterunkowy;Snieg;0;
823;BMW 5 Touring;1;0;Przodownik;Snieg;0;
1361;Volkswagen Sharan;1;1;Inspektor;Snieg;0;
3364;Volkswagen T5;1;1;Podinspektor;Snieg;0;
3310;Volkswagen Caddy;2;1;Aspirant;Snieg;1;
2388;BMW 3 Touring;1;0;Komisarz;Pogodnie;1;
823;Volkswagen Sharan;2;1;Przodownik;Deszcz;1;
2260;Volkswagen Golf III;4;0;Nadkomisarz;Pogodnie;0;
2725;Volkswagen Golf III;4;1;Starszy przodownik;Snieg;0;
3533;Volkswagen T5;0;0;Podinspektor;Snieg;1;
2329;Volkswagen T5;1;1;Komisarz;Snieg;0;
3285;Volkswagen Caddy;3;1;Podkomisarz;Deszcz;0;
3926;BMW 3 Touring;4;1;Aspirant;Pogodnie;1;
1535;Volkswagen T5;4;0;Komisarz;Snieg;0;
2623;Volkswagen Golf III;4;1;Posterunkowy;Snieg;0;
3236;Volkswagen Caddy;0;1;Podkomisarz;Snieg;1;
1895;Volkswagen Sharan;0;0;Aspirant;Deszcz;1;
2810;Volkswagen Golf III;3;0;Aspirant;Pogodnie;1;
746;Volkswagen Caddy;0;1;Przodownik;Deszcz;0;
3539;BMW 3 Touring;0;1;Starszy posterunkowy;Deszcz;1;
673;BMW 3 Touring;1;0;Posterunkowy;Deszcz;0;
2183;Volkswagen Caddy;4;0;Starszy przodownik;Snieg;0;
3046;Volkswagen Caddy;0;0;Podinspektor;Pogodnie;1;
1090;BMW 5 Touring;4;0;Przodownik;Deszcz;1;
973;BMW 3 Touring;3;0;Starszy przodownik;Deszcz;0;
970;Volkswagen T5;3;0;Starszy posterunkowy;Deszcz;1;
1825;Volkswagen T5;0;1;Aspirant;Deszcz;0;
2603;Volkswagen Golf III;2;1;Posterunkowy;Pogodnie;1;
3507;BMW 5 Touring;1;1;Podinspektor;Deszcz;1;
497;Volkswagen Sharan;2;1;Inspektor;Deszcz;1;
2788;Volkswagen Sharan;0;0;Starszy przodownik;Deszcz;1;
616;BMW 3 Touring;1;0;Przodownik;Deszcz;0;
3523;Kia Ceed;4;0;Posterunkowy;Deszcz;1;
3564;Volkswagen Sharan;1;1;Starszy przodownik;Deszcz;0;
3860;Volkswagen Sharan;2;1;Komisarz;Deszcz;1;
937;Volkswagen T5;1;0;Podinspektor;Snieg;0;
3642;BMW 3 Touring;3;1;Nadkomisarz;Deszcz;1;
3907;Kia Ceed;2;1;Podkomisarz;Pogodnie;1;
3213;Volkswagen Sharan;2;0;Podkomisarz;Deszcz;1;
2933;Kia Ceed;4;1;Komisarz;Pogodnie;0;
554;BMW 3 Touring;4;0;Starszy przodownik;Snieg;1;
655;BMW 3 Touring;2;1;Przodownik;Snieg;1;
2003;BMW 5 Touring;3;0;Przodownik;Snieg;0;
506;Kia Ceed;0;1;Przodownik;Snieg;0;
3454;Volkswagen Sharan;0;1;Aspirant;Deszcz;1;
2200;Volkswagen Sharan;1;0;Starszy posterunkowy;Deszcz;1;
2876;Volkswagen T5;3;1;Posterunkowy;Deszcz;0;
2456;Volkswagen T5;3;1;Podinspektor;Snieg;0;
1505;Volkswagen T5;1;1;Podkomisarz;Deszcz;0;
1173;Kia Ceed;0;1;Aspirant;Pogodnie;1;
502;Volkswagen Caddy;3;0;Podkomisarz;Deszcz;0;
